3	170	0.99
3	616	0.99
3	625	0.3
3	1024	0.99
3	2370	0.99
4	38	0.73
4	53	0.58
4	115	0.72
4	477	0.32
4	526	0.72
4	625	0.51
4	890	0.83
4	912	0.8
4	983	0.77
4	1102	0.32
4	1350	0.83
4	1699	0.53
4	1735	0.33
4	1825	0.33
4	1885	0.93
4	2031	0.74
4	2101	0.33
6	53	0.63
6	536	0.99
6	605	0.99
6	678	0.99
6	1374	0.99
6	1704	0.99
6	1898	0.99
6	2607	0.99
9	394	0.99
9	419	0.99
9	980	0.99
9	1073	0.55
9	1932	0.78
9	2053	0.93
9	2171	0.58
9	2329	0.7
9	2565	0.36
10	1735	0.4
11	16	0.64
11	1249	0.99
13	321	0.99
13	564	0.73
13	2255	0.6
15	2226	0.83
16	1913	0.38
17	287	0.63
17	292	0.34
17	334	0.81
17	625	0.72
17	629	0.72
17	939	0.6
17	1279	0.5
17	1286	0.34
17	1648	0.51
17	1865	0.99
17	1923	0.95
17	2131	0.47
17	2458	0.72
17	2501	0.63
17	2512	0.95
17	2562	0.6
17	2692	0.6
22	239	0.3
22	1173	0.98
22	2174	0.53
23	791	0.99
24	1323	0.99
24	2606	0.97
27	29	0.54
27	96	0.82
27	108	0.42
27	169	0.33
27	423	0.54
27	538	0.99
27	1071	0.94
27	1470	0.96
27	1527	0.99
27	1716	0.97
27	1793	0.99
27	1804	0.54
31	318	0.31
31	469	0.32
31	643	0.65
31	1250	0.34
31	1573	0.34
31	1755	0.34
31	2465	0.34
31	2562	0.43
31	2691	0.34
33	1997	0.3
35	34	0.99
39	1820	0.99
39	1827	0.99
39	2166	0.99
40	203	0.99
40	667	0.73
40	1670	0.99
40	2558	0.89
41	52	0.93
41	397	0.51
41	498	0.5
41	526	0.57
41	717	0.34
41	834	0.28
41	1219	0.97
41	1413	0.99
41	1865	0.56
41	2226	0.99
47	46	0.99
49	36	0.33
49	155	0.53
49	297	0.33
49	886	0.53
49	1003	0.33
50	302	0.77
50	1234	0.37
50	1239	0.84
50	1867	0.98
50	1905	0.98
52	53	0.94
52	115	0.94
52	987	0.99
52	1000	0.99
52	1616	0.99
52	1913	0.99
52	1969	0.54
52	2268	0.99
52	2285	0.92
53	78	0.77
53	115	0.94
53	116	0.96
53	292	0.37
53	526	0.94
53	987	0.99
53	1000	0.94
53	1141	0.29
53	1249	0.71
53	1304	0.58
53	1315	0.29
53	1350	0.61
53	1616	0.99
53	1913	0.99
53	1928	0.54
53	1961	0.32
53	1969	0.99
53	2167	0.93
53	2350	0.49
53	2351	0.78
57	220	0.82
60	144	0.3
60	523	0.29
60	1782	0.3
60	2188	0.3
62	292	0.39
64	2484	0.99
66	334	0.98
66	625	0.29
66	1268	0.99
66	1735	0.29
67	1439	0.67
67	2051	0.99
69	938	0.99
69	1003	0.48
70	2128	0.99
71	1735	0.33
72	2202	0.29
72	2289	0.4
73	1047	0.39
73	1423	0.29
73	1596	0.39
73	1850	0.29
74	899	0.83
75	882	0.84
75	892	0.97
75	1065	0.97
75	1115	0.97
75	1335	0.63
75	1920	0.98
75	2071	0.39
75	2280	0.98
75	2488	0.97
75	2660	0.94
77	2706	0.99
78	474	0.99
78	581	0.89
78	1883	0.99
78	2167	0.99
79	1405	0.29
81	53	0.73
81	116	0.58
81	2629	0.99
84	1773	0.7
86	389	0.99
86	629	0.36
86	1174	0.77
91	754	0.42
91	1929	0.3
91	2300	0.99
93	12	0.99
93	287	0.64
93	627	0.99
93	629	0.99
93	720	0.64
93	1285	0.99
93	1579	0.99
93	1845	0.99
93	1865	0.56
94	1036	0.74
94	1220	0.97
94	1827	0.4
94	2699	0.88
98	939	0.67
98	1865	0.99
101	999	0.8
102	1686	0.48
105	211	0.97
105	237	0.8
105	329	0.82
105	588	0.77
105	625	0.4
105	749	0.98
105	901	0.97
105	952	0.82
105	1089	0.29
105	1170	0.82
105	1204	0.3
105	1735	0.4
105	2235	0.98
105	2283	0.98
105	2401	0.97
105	2651	0.98
105	2690	0.97
106	629	0.3
106	872	0.98
106	1065	0.29
106	1705	0.84
106	1789	0.85
109	116	0.98
109	2293	0.97
114	165	0.67
114	173	0.99
114	523	0.99
114	939	0.67
115	116	0.94
115	272	0.66
115	526	0.83
115	732	0.99
115	987	0.99
115	1268	0.84
115	1387	0.87
115	1651	0.94
115	1913	0.99
115	1969	0.43
115	2058	0.99
115	2285	0.93
115	2426	0.94
115	2498	0.99
116	52	0.94
116	232	0.99
116	526	0.33
116	732	0.99
116	987	0.99
116	1040	0.28
116	1268	0.83
116	1387	0.28
116	1616	0.66
116	1651	0.94
116	1913	0.99
116	1961	0.32
116	2058	0.82
116	2060	0.28
116	2100	0.88
116	2157	0.29
116	2498	0.99
116	2642	0.29
118	210	0.98
118	949	0.99
124	939	0.64
124	1774	0.99
131	53	0.35
132	101	0.31
132	625	0.63
133	753	0.28
134	1659	0.32
135	166	0.35
135	417	0.3
135	629	0.44
135	717	0.5
135	939	0.72
135	1304	0.33
135	2537	0.68
137	52	0.81
137	53	0.82
137	115	0.64
137	526	0.64
137	1202	0.97
137	1643	0.99
137	1912	0.99
137	2458	0.34
137	2498	0.97
137	2686	0.99
139	1976	0.4
142	811	0.77
144	173	0.77
144	1356	0.29
144	1976	0.4
144	2395	0.29
144	2644	0.29
146	9	0.49
146	651	0.99
146	751	0.99
146	939	0.56
146	1432	0.99
146	1448	0.61
146	1752	0.99
146	1782	0.64
146	2008	0.97
146	2018	0.3
146	2068	0.97
146	2187	0.77
146	2487	0.99
146	2635	0.99
146	2668	0.34
148	216	0.88
148	1690	0.99
148	2033	0.5
148	2320	0.84
149	468	0.83
149	774	0.33
149	1501	0.98
149	2458	0.32
151	390	0.29
153	116	0.34
153	263	0.34
153	478	0.34
153	523	0.32
153	716	0.45
153	1461	0.45
153	1735	0.45
153	1769	0.36
153	1929	0.45
153	2214	0.82
153	2426	0.98
156	708	0.96
157	8	0.87
157	1275	0.99
157	2049	0.97
157	2125	0.99
157	2232	0.96
157	2262	0.99
157	2559	0.96
157	2580	0.99
160	167	0.99
161	295	0.99
161	511	0.87
161	1290	0.97
161	1610	0.98
163	217	0.87
163	565	0.99
163	594	0.44
163	1081	0.64
163	1489	0.64
163	1812	0.87
163	2510	0.99
163	2637	0.51
164	287	0.77
164	629	0.92
164	1043	0.29
164	2501	0.3
165	1001	0.39
165	1988	0.98
165	2072	0.39
169	753	0.94
169	1014	0.99
169	1036	0.94
169	1261	0.97
169	1502	0.99
169	1732	0.72
169	1791	0.94
169	1900	0.99
170	616	0.97
170	1024	0.99
170	2370	0.99
170	2503	0.86
171	472	0.94
173	418	0.99
173	602	0.3
173	728	0.99
173	1015	0.96
173	1163	0.94
173	1443	0.74
173	2632	0.88
175	19	0.7
175	165	0.59
175	939	0.94
175	1556	0.59
176	950	0.99
177	483	0.29
177	1400	0.3
177	1660	0.39
177	1700	0.8
177	1714	0.39
177	2171	0.3
180	478	0.3
180	769	0.4
180	1174	0.3
185	740	0.29
185	1204	0.3
186	55	0.42
187	1713	0.32
190	384	0.97
190	397	0.97
190	404	0.94
190	512	0.68
190	841	0.94
190	905	0.55
190	922	0.97
190	1010	0.76
